tot_time,method,run,map,iterations,finished,collided_cnt,timeout_cnt,reached_cnt,steps_sum,sim_time,storage_time,node_cnt,path_node_cnt,env_export_t,env_import_t,env_render_t,env_reset_t,env_step_t
388.220976352226,BlendManualOneControl,run_8,Piped,20220,False,17492,0,2728,400076,31.97333965008147,58.43509749835357,15985,0,53.72856268216856,12.056080493843183,2.0212231227196753,3.2966197533532977,226.04751446889713
514.8876146280672,BlendManualOneControl,run_5,Piped,21968,False,18976,0,2992,400062,29.786901684943587,180.75471117999405,18070,0,57.987122419290245,14.104985845042393,2.079566968837753,3.6011424229945987,221.85703562479466
385.63817751198076,BlendManualOneControl,run_21,Piped,21847,False,18702,0,3145,400064,24.424805885646492,64.73992079636082,17696,0,55.887501006014645,12.728611982660368,2.017845836468041,3.4740733050275594,213.79843586985953
367.30897080199793,BlendManualOneControl,run_29,Piped,22261,False,19229,0,3032,400020,28.21910661563743,45.272506953042466,16711,0,53.30105866026133,13.102303009363823,2.0124138118117116,3.522496376070194,217.33669405453838
366.73397488699993,BlendManualOneControl,run_30,Piped,18094,False,15442,0,2652,400031,29.67013343895087,56.69588890229352,16893,0,50.27103557594819,12.450644516560715,2.0200537411146797,2.772808759997133,212.079699630267
394.22444655303843,BlendManualOneControl,run_1,Piped,18377,False,15693,0,2684,400000,30.446980451233685,74.18716887477785,15918,0,52.14764990331605,10.768158412538469,2.078790444880724,2.935762219130993,220.66976971342228
397.74738499778323,BlendManualOneControl,run_14,Piped,20348,False,17406,0,2942,400025,28.50911369547248,69.50813225563616,18180,0,58.39576541446149,12.043018774595112,2.055960580939427,3.3113825342152268,219.7701217038557
554.4685832441319,BlendManualOneControl,run_2,Piped,23842,False,20528,0,3314,400059,34.55322638968937,174.67592161055654,18673,0,61.168936633039266,15.285419712541625,2.1156758866272867,4.548326290212572,257.3230309751816
467.8823595379945,BlendManualOneControl,run_24,Piped,17234,False,14822,0,2412,400134,39.80593835795298,126.85857410542667,18565,0,59.406613854458556,10.355284191668034,2.080152487149462,2.82183331460692,234.28910579625517
416.003550458001,BlendManualOneControl,run_7,Piped,25151,False,21789,0,3362,400005,25.207284774864092,79.57946194824763,18499,0,61.036736944457516,14.737628801260144,1.9416911758016795,4.098490853793919,219.80114014772698
371.4563841528725,BlendManualOneControl,run_3,Piped,18836,False,16038,0,2798,400114,28.607983525609598,48.480310342274606,15800,0,50.40493154898286,13.597573152044788,2.0484175893943757,3.0712387000676244,221.48510038410313
413.4905110760592,BlendManualOneControl,run_10,Piped,20762,False,17825,0,2937,400071,30.68541710730642,84.50548505387269,16510,0,54.545927718048915,13.289537441218272,2.038134245434776,3.3683859414886683,222.99274081317708
407.9814962260425,BlendManualOneControl,run_23,Piped,23278,False,19924,0,3354,400043,26.783554722787812,74.1248679831624,19031,0,62.1998567818664,15.45812710467726,2.0574718504212797,3.7101987085770816,216.84252827893943
450.7280321139842,BlendManualOneControl,run_17,Piped,22451,False,19197,0,3254,400037,28.50039360532537,115.74819634039886,18341,0,59.9014461801853,13.506427679210901,2.00976625806652,3.650817701825872,222.21450966317207
388.1233387819957,BlendManualOneControl,run_9,Piped,19456,False,16761,0,2695,400093,31.428036803845316,62.16655315714888,15865,0,53.41125129768625,11.550251128152013,2.0023167729377747,3.148856175597757,223.7775198095478
246.4477018348407,BlendManualOneControl,run_16,Piped,10055,True,8608,0,1447,245482,17.323547425679862,51.91056995745748,10829,191,34.431571521330625,5.887600881513208,1.246424751356244,1.5977176665328443,132.34418223239481
437.76262179599144,BlendManualOneControl,run_6,Piped,24904,False,21474,0,3430,400029,26.918186229187995,96.98612101073377,18349,0,58.06187095073983,17.53542932542041,1.9877924893517047,4.129734358750284,223.99465592438355
514.6385272718035,BlendManualOneControl,run_27,Piped,21261,False,18085,0,3176,400109,29.277191574219614,191.5254827248864,16602,0,54.48188732517883,12.545971068320796,1.9488756489008665,3.408460211008787,218.14935572072864
433.393918473972,BlendManualOneControl,run_13,Piped,21319,False,18347,0,2972,400066,28.96432136138901,104.11092623393051,18474,0,59.817139899823815,12.640268091810867,2.1171128053683788,3.429553386522457,218.26266560237855
453.72870866488665,BlendManualOneControl,run_11,Piped,22215,False,19263,0,2952,400007,28.92423476628028,125.95877741742879,16514,0,52.98061790061183,13.596414090134203,2.125537968473509,3.6329899879638106,221.77034026710317
395.89397187903523,BlendManualOneControl,run_18,Piped,19401,False,16620,0,2781,400050,30.72871157503687,71.75222919881344,15861,0,53.105715651996434,11.531038195127621,2.072434796951711,3.1504739879164845,222.2351340041496
397.3776806460228,BlendManualOneControl,run_26,Piped,22743,False,19506,0,3237,400000,24.27049205126241,75.90929312934168,17328,0,54.8642960942816,13.525081160012633,2.04011746449396,3.620431013405323,213.736353560118
438.5367599229794,BlendManualOneControl,run_20,Piped,19782,False,16923,0,2859,400012,33.08767296071164,75.20302245207131,18381,0,59.081633990164846,12.214665450621396,2.103553215507418,3.6520759526174515,249.56475539295934
368.99059905693866,BlendManualOneControl,run_12,Piped,17123,False,14646,0,2477,400013,28.60434292186983,53.38602280546911,15879,0,50.03644827590324,10.17211045161821,2.0128504631575197,2.785049541387707,219.63201853563078
463.1502926039975,BlendManualOneControl,run_19,Piped,18228,False,15574,0,2654,400001,38.28127736621536,128.62076533283107,17584,0,56.86009974824265,11.07096983329393,2.0537692613434047,2.971608600113541,229.53662291518413
401.2668460740242,BlendManualOneControl,run_4,Piped,22653,False,19646,0,3007,400013,29.17507414263673,73.97741265641525,17424,0,53.67829125910066,13.232492288574576,2.081253316020593,3.630278771277517,221.299435245106
397.6148934911471,BlendManualOneControl,run_15,Piped,22811,False,19588,0,3223,400011,27.773693883093074,67.40375545388088,17887,0,56.31550766667351,15.887295513181016,2.0506962328217924,3.688607641030103,219.04328156798147
364.82714200400005,TwoControl,run_22,Piped,62103,False,57372,0,4731,400002,31.071364254061336,159.2200251352242,9190,0,28.731533349027814,28.99126723912741,1.6551400632797595,3.645247540996934,118.52868524026962
477.3641835950002,TwoControl,run_25,Piped,70907,False,65394,0,5513,400001,31.49331494548096,258.3880229819151,10428,0,32.844762228145555,35.38827169295291,1.6405060505003348,4.279227465955046,117.85972589806443
